B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.0,0.1439509954,0.0,0.0,0.0,0.1260460251,0.0,0.0,0.0,0.0,0.1460674157,0.1468030691,0.1383358857,0.0,0.1384065373,0.0,0.0,0.15044713310000002,0.0,0.0,0.0,0.1598901099
0.0,0.0,0.1422805247,0.1442986882,0.0,0.14913232099999998,0.1369378474,0.0,0.1386036961,0.1353620147,0.0,0.1455108359,0.0,0.1466127401,0.0,0.0,0.0,0.1378091873,0.0,0.1502079002,0.1463917526,0.0,0.0,0.0
0.0,0.1422805247,0.0,0.0100806452,0.0977822581,0.0,0.0,0.0397521941,0.0641025641,0.0,0.0,0.0731958763,0.0892586989,0.0888888889,0.0,0.0892137097,0.0892586989,0.0,0.0953101362,0.0929387331,0.0942327497,0.1456653226,0.0,0.1533875339
0.1439509954,0.1442986882,0.0100806452,0.0,0.0,0.0,0.0444220091,0.0,0.061025641,0.0613207547,0.0,0.0,0.0,0.0,0.0897177419,0.0,0.0897629854,0.0,0.0943015633,0.0919003115,0.0932028836,0.1451612903,0.0,0.1528455285
0.0,0.0,0.0977822581,0.0,0.0,0.0,0.0943967693,0.07537429009999999,0.0,0.0,0.0973724884,0.0,0.0,0.0,0.0,0.0816532258,0.0832072617,0.0,0.0932929904,0.0903426791,0.0,0.1481854839,0.0,0.1517615176
0.0,0.14913232099999998,0.0,0.0,0.0,0.0,0.0,0.08698060939999999,0.0976821192,0.0943502825,0.0,0.1071032186,0.0,0.0,0.0888407367,0.0888407367,0.0894308943,0.0,0.0,0.0,0.0997782705,0.0,0.139219935,0.1539295393
0.0,0.1369378474,0.0,0.0444220091,0.0943967693,0.0,0.0,0.0,0.0642013354,0.0,0.0779153767,0.0784718637,0.0915457729,0.0921382073,0.0926853707,0.0,0.0,0.0,0.0,0.0962038482,0.0,0.0,0.132,0.0
0.1260460251,0.0,0.0397521941,0.0,0.07537429009999999,0.08698060939999999,0.0,0.0,0.0546505518,0.0537345513,0.0644139388,0.0649762282,0.0,0.0,0.0,0.0,0.0,0.0754132231,0.0803069054,0.0,0.0,0.1370143149,0.1242331288,0.0
0.0,0.1386036961,0.0641025641,0.061025641,0.0,0.0976821192,0.0642013354,0.0546505518,0.0,0.000524109,0.0623390005,0.0628865979,0.0,0.08427543679999999,0.0866666667,0.0,0.0856410256,0.0,0.0,0.0908141962,0.0906282183,0.0,0.1374358974,0.1584759801
0.0,0.1353620147,0.0,0.0613207547,0.0,0.0943502825,0.0,0.0537345513,0.000524109,0.0,0.0609563847,0.0,0.0,0.0,0.0833333333,0.0833333333,0.0828092243,0.0,0.08752620550000001,0.0885805763,0.0892857143,0.0,0.1367924528,0.0
0.0,0.0,0.0,0.0,0.0973724884,0.0,0.0779153767,0.0644139388,0.0623390005,0.0609563847,0.0,0.0005154639,0.0,0.0,0.0,0.0808861412,0.0,0.0,0.0881443299,0.0,0.0901597115,0.0,0.0,0.0
