B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.14190913730000002,0.0,0.0,0.0,0.0,0.0,0.1381818182,0.1348911312,0.0,0.0,0.1460674157,0.0,0.0,0.0,0.0,0.1378958121,0.14453524,0.15044713310000002,0.1460615545,0.0,0.1373149566,0.0
0.0,0.0,0.1422805247,0.0,0.0,0.0,0.1369378474,0.0,0.0,0.1353620147,0.0,0.0,0.1458859162,0.0,0.0,0.1387487386,0.0,0.1378091873,0.14437152949999998,0.0,0.1463917526,0.0,0.1377396569,0.0
0.14190913730000002,0.1422805247,0.0,0.0100806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0731958763,0.0,0.0888888889,0.0892137097,0.0,0.0,0.0,0.0953101362,0.0929387331,0.0942327497,0.1456653226,0.138608871,0.0
0.0,0.0,0.0100806452,0.0,0.0977822581,0.0,0.0444220091,0.0387196696,0.0,0.0613207547,0.0705821741,0.0,0.0,0.0,0.0897177419,0.0,0.0,0.0,0.0943015633,0.0,0.0,0.0,0.0,0.1528455285
0.0,0.0,0.0,0.0977822581,0.0,0.0,0.0,0.0,0.0917948718,0.0,0.0,0.0979381443,0.0887544125,0.08686868689999999,0.0,0.0,0.0832072617,0.0,0.0,0.0903426791,0.0926879506,0.0,0.138608871,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.1014650027,0.0,0.0,0.0943502825,0.0,0.1071032186,0.0910569106,0.0,0.0888407367,0.0,0.0894308943,0.0883468835,0.0,0.0,0.0,0.1500541712,0.0,0.0
0.0,0.1369378474,0.0,0.0444220091,0.0,0.1014650027,0.0,0.0127811861,0.0642013354,0.0635170604,0.0,0.0784718637,0.0915457729,0.0921382073,0.0926853707,0.0,0.0,0.0924242424,0.0,0.0962038482,0.1005673027,0.0,0.132,0.1569048898
0.0,0.0,0.0,0.0387196696,0.0,0.0,0.0127811861,0.0,0.0546505518,0.0537345513,0.0644139388,0.0,0.0746803069,0.0747567844,0.074795082,0.0751533742,0.0,0.0,0.0803069054,0.0,0.0839050132,0.1370143149,0.0,0.0
0.1381818182,0.0,0.0,0.0,0.0917948718,0.0,0.0642013354,0.0546505518,0.0,0.0,0.0623390005,0.0628865979,0.0,0.08427543679999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1584759801
0.1348911312,0.1353620147,0.0,0.0613207547,0.0,0.0943502825,0.0635170604,0.0537345513,0.0,0.0,0.0,0.0615141956,0.0828526481,0.0823714586,0.0,0.0833333333,0.0,0.0,0.08752620550000001,0.0,0.0892857143,0.1504192872,0.1367924528,0.158281515
0.0,0.0,0.0,0.0705821741,0.0,0.0,0.0,0.0644139388,0.0623390005,0.0,0.0,0.0,0.08505154640000001,0.0846670108,0.0808861412,0.0808861412,0.0,0.0,0.0,0.0,0.0,0.1535291087,0.0,0.0
0.0,0.0,0.0731958763,0.0,0.0979381443,0.1071032186,0.0784718637,0.0,0.0628865979,0.0615141956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0881427072,0.0891752577,0.0,0.1453608247,0.1515824542
0.1460674157,0.1458859162,0.0,0.0,0.0887544125,0.0910569106,0.0915457729,0.0746803069,0.0,0.0828526481,0.08505154640000001,0.0,0.0,0.0,0.0,0.0484515485,0.0,0.0,0.0,0.0498701299,0.0633693972,0.0,0.1488511489,0.0
0.0,0.0,0.0888888889,0.0,0.08686868689999999,0.0,0.0921382073,0.0747567844,0.08427543679999999,0.0823714586,0.0846670108,0.0,0.0,0.0,0.0,0.0,0.050530571,0.0495199596,0.0515257629,0.0504682622,0.0,0.0,0.0,0.1543010753
0.0,0.0,0.0892137097,0.0897177419,0.0,0.0888407367,0.0926853707,0.074795082,0.0,0.0,0.0808861412,0.0,0.0,0.0,0.0,0.0005002501,0.0105900151,0.0,0.0520520521,0.0,0.0,0.1430715358,0.0,0.15053763439999998
0.0,0.1387487386,0.0,0.0,0.0,0.0,0.0,0.0751533742,0.0,0.0833333333,0.0808861412,0.0,0.0484515485,0.0,0.0005002501,0.0,0.0105900151,0.0,0.0,0.0508826584,0.0,0.0,0.1352970544,0.1502145923
0.0,0.0,0.0,0.0,0.0832072617,0.0894308943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050530571,0.0105900151,0.0105900151,0.0,0.0,0.0544904137,0.0534787124,0.05973223480000001,0.0,0.0,0.1513015184
0.1378958121,0.1378091873,0.0,0.0,0.0,0.0883468835,0.0924242424,0.0,0.0,0.0,0.0,0.0,0.0,0.0495199596,0.0,0.0,0.0,0.0,0.053481332,0.0,0.0,0.0,0.0,0.1496746204
0.14453524,0.14437152949999998,0.0953101362,0.0943015633,0.0,0.0,0.0,0.0803069054,0.0,0.08752620550000001,0.0,0.0,0.0,0.0515257629,0.0520520521,0.0,0.0544904137,0.053481332,0.0,0.0166233766,0.0556414219,0.1503496503,0.0,0.0
0.15044713310000002,0.0,0.0929387331,0.0,0.0903426791,0.0,0.0962038482,0.0,0.0,0.0,0.0,0.0881427072,0.0498701299,0.0504682622,0.0,0.0508826584,0.0534787124,0.0,0.0166233766,0.0,0.0,0.0,0.1427829699,0.0
0.1460615545,0.1463917526,0.0942327497,0.0,0.0926879506,0.0,0.1005673027,0.0839050132,0.0,0.0892857143,0.0,0.0891752577,0.0633693972,0.0,0.0,0.0,0.05973223480000001,0.0,0.0556414219,0.0,0.0,0.0,0.140061792,0.153078203
