B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.14190913730000002,0.1439509954,0.0,0.0,0.1365030675,0.1260460251,0.1381818182,0.1348911312,0.0,0.1451697128,0.0,0.1468030691,0.1383358857,0.1388463502,0.1384065373,0.1378958121,0.14453524,0.0,0.1460615545,0.0,0.1373149566,0.0
0.0,0.0,0.1422805247,0.1442986882,0.1417759839,0.14913232099999998,0.0,0.0,0.1386036961,0.1353620147,0.0,0.0,0.0,0.0,0.1382441978,0.0,0.0,0.1378091873,0.14437152949999998,0.1502079002,0.1463917526,0.1331987891,0.1377396569,0.0
0.14190913730000002,0.1422805247,0.0,0.0,0.0977822581,0.0,0.0,0.0397521941,0.0,0.0,0.0726429675,0.0731958763,0.0,0.0888888889,0.0892137097,0.0892137097,0.0892586989,0.0892586989,0.0953101362,0.0929387331,0.0942327497,0.0,0.138608871,0.1533875339
0.1439509954,0.1442986882,0.0,0.0,0.0977822581,0.0,0.0444220091,0.0387196696,0.0,0.0613207547,0.0,0.0711340206,0.0892586989,0.0,0.0,0.0,0.0,0.0,0.0,0.0919003115,0.0932028836,0.1451612903,0.0,0.1528455285
0.0,0.1417759839,0.0977822581,0.0977822581,0.0,0.0,0.0,0.0,0.0,0.0885744235,0.0,0.0979381443,0.0,0.0,0.0816532258,0.0,0.0832072617,0.0,0.0932929904,0.0903426791,0.0926879506,0.0,0.0,0.0
0.0,0.14913232099999998,0.0,0.0,0.0,0.0,0.1014650027,0.0,0.0,0.0943502825,0.0,0.0,0.0,0.0,0.0888407367,0.0888407367,0.0,0.0,0.0959349593,0.0933040615,0.0,0.1500541712,0.139219935,0.1539295393
0.1365030675,0.0,0.0,0.0444220091,0.0,0.1014650027,0.0,0.0127811861,0.0,0.0635170604,0.0,0.0,0.0915457729,0.0921382073,0.0926853707,0.09300000000000001,0.0924242424,0.0,0.0,0.0962038482,0.1005673027,0.0,0.132,0.1569048898
0.1260460251,0.0,0.0397521941,0.0387196696,0.0,0.0,0.0127811861,0.0,0.0546505518,0.0537345513,0.0644139388,0.0,0.0746803069,0.0747567844,0.0,0.0,0.0,0.0754132231,0.0,0.0,0.0839050132,0.1370143149,0.0,0.1431705979
0.1381818182,0.1386036961,0.0,0.0,0.0,0.0,0.0,0.0546505518,0.0,0.0,0.0623390005,0.0628865979,0.085171883,0.08427543679999999,0.0866666667,0.0866666667,0.0856410256,0.0,0.0,0.0908141962,0.0,0.0,0.1374358974,0.1584759801
0.1348911312,0.1353620147,0.0,0.0613207547,0.0885744235,0.0943502825,0.0635170604,0.0537345513,0.0,0.0,0.0,0.0615141956,0.0828526481,0.0,0.0833333333,0.0,0.0828092243,0.0,0.08752620550000001,0.0885805763,0.0892857143,0.0,0.1367924528,0.0
0.0,0.0,0.0726429675,0.0,0.0,0.0,0.0,0.0644139388,0.0623390005,0.0,0.0,0.0005154639,0.08505154640000001,0.0846670108,0.0,0.0,0.0,0.0,0.0881443299,0.0875721028,0.0,0.1535291087,0.1447707367,0.1509433962
0.1451697128,0.0,0.0731958763,0.0711340206,0.0979381443,0.0,0.0,0.0,0.0628865979,0.0615141956,0.0005154639,0.0,0.0,0.0852272727,0.0,0.08144329900000001,0.0840206186,0.08505154640000001,0.0,0.0881427072,0.0,0.1536082474,0.1453608247,0.0
0.0,0.0,0.0,0.0892586989,0.0,0.0,0.0915457729,0.0746803069,0.085171883,0.0828526481,0.08505154640000001,0.0,0.0,0.0035017509000000004,0.0,0.0,0.0,0.0489404642,0.0,0.0,0.0633693972,0.0,0.0,0.0
0.1468030691,0.0,0.0888888889,0.0,0.0,0.0,0.0921382073,0.0747567844,0.08427543679999999,0.0,0.0846670108,0.0852272727,0.0035017509000000004,0.0,0.0481203008,0.0,0.050530571,0.0,0.0515257629,0.0504682622,0.0,0.0,0.0,0.1543010753
0.1383358857,0.1382441978,0.0892137097,0.0,0.0816532258,0.0888407367,0.0926853707,0.0,0.0866666667,0.0833333333,0.0,0.0,0.0,0.0481203008,0.0,0.0005002501,0.0105900151,0.0,0.0,0.0,0.0,0.1430715358,0.1350675338,0.15053763439999998
0.1388463502,0.0,0.0892137097,0.0,0.0,0.0888407367,0.09300000000000001,0.0,0.0866666667,0.0,0.0,0.08144329900000001,0.0,0.0,0.0005002501,0.0,0.0,0.0095814423,0.0524475524,0.0,0.0,0.0,0.0,0.1502145923
0.1384065373,0.0,0.0892586989,0.0,0.0832072617,0.0,0.0924242424,0.0,0.0856410256,0.0828092243,0.0,0.0840206186,0.0,0.050530571,0.0105900151,0.0,0.0,0.0,0.0544904137,0.0,0.0,0.1442259203,0.0,0.0
0.1378958121,0.1378091873,0.0892586989,0.0,0.0,0.0,0.0,0.0754132231,0.0,0.0,0.0,0.08505154640000001,0.0489404642,0.0,0.0,0.0095814423,0.0,0.0,0.053481332,0.0524402908,0.0587023687,0.1442259203,0.1346444781,0.1496746204
0.14453524,0.14437152949999998,0.0953101362,0.0,0.0932929904,0.0959349593,0.0,0.0,0.0,0.08752620550000001,0.0881443299,0.0,0.0,0.0515257629,0.0,0.0524475524,0.0544904137,0.053481332,0.0,0.0166233766,0.0556414219,0.0,0.14285714289999998,0.0
