B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1260460251,0.1381818182,0.0,0.1445720251,0.0,0.1460674157,0.1468030691,0.0,0.1388463502,0.1384065373,0.1378958121,0.14453524,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1442986882,0.0,0.0,0.0,0.0,0.1386036961,0.0,0.1449200619,0.0,0.1458859162,0.0,0.1382441978,0.1387487386,0.13831398279999998,0.1378091873,0.14437152949999998,0.1502079002,0.0,0.0,0.0,0.1600651112
0.0,0.0,0.0,0.0,0.0977822581,0.0,0.0459363958,0.0,0.0,0.0644654088,0.0726429675,0.0731958763,0.0,0.0888888889,0.0892137097,0.0,0.0,0.0892586989,0.0953101362,0.0929387331,0.0,0.0,0.0,0.0
0.0,0.1442986882,0.0,0.0,0.0,0.1045503792,0.0444220091,0.0387196696,0.061025641,0.0,0.0705821741,0.0711340206,0.0,0.0,0.0897177419,0.0897177419,0.0,0.0897629854,0.0,0.0919003115,0.0932028836,0.0,0.0,0.0
0.0,0.0,0.0977822581,0.0,0.0,0.0390032503,0.0943967693,0.0,0.0917948718,0.0885744235,0.0,0.0,0.0887544125,0.08686868689999999,0.0816532258,0.0,0.0,0.0,0.0,0.0,0.0,0.1481854839,0.0,0.0
0.0,0.0,0.0,0.1045503792,0.0390032503,0.0,0.0,0.08698060939999999,0.0,0.0,0.1064891847,0.1071032186,0.0,0.0,0.0888407367,0.0,0.0894308943,0.0,0.0959349593,0.0,0.0,0.0,0.0,0.1539295393
0.0,0.0,0.0459363958,0.0444220091,0.0943967693,0.0,0.0,0.0127811861,0.0642013354,0.0635170604,0.0,0.0,0.0,0.0921382073,0.0926853707,0.0,0.0924242424,0.0924242424,0.0,0.0,0.1005673027,0.1495,0.132,0.1569048898
0.1260460251,0.0,0.0,0.0387196696,0.0,0.08698060939999999,0.0127811861,0.0,0.0,0.0,0.0,0.0649762282,0.0,0.0,0.0,0.0751533742,0.07644628099999999,0.0754132231,0.0,0.0,0.0,0.0,0.0,0.1431705979
0.1381818182,0.1386036961,0.0,0.061025641,0.0917948718,0.0,0.0642013354,0.0,0.0,0.000524109,0.0,0.0,0.0,0.0,0.0866666667,0.0,0.0,0.0866666667,0.0903027193,0.0908141962,0.0906282183,0.0,0.0,0.1584759801
0.0,0.0,0.0644654088,0.0,0.0885744235,0.0,0.0635170604,0.0,0.000524109,0.0,0.0,0.0,0.0828526481,0.0823714586,0.0,0.0,0.0,0.0838574423,0.08752620550000001,0.0885805763,0.0892857143,0.0,0.1367924528,0.0
0.1445720251,0.1449200619,0.0726429675,0.0705821741,0.0,0.1064891847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834621329,0.0,0.0,0.0875721028,0.0901597115,0.0,0.0,0.1509433962
0.0,0.0,0.0731958763,0.0711340206,0.0,0.1071032186,0.0,0.0649762282,0.0,0.0,0.0,0.0,0.0,0.0,0.08144329900000001,0.08144329900000001,0.0,0.08505154640000001,0.0,0.0,0.0,0.0,0.1453608247,0.0
0.1460674157,0.1458859162,0.0,0.0,0.0887544125,0.0,0.0,0.0,0.0,0.0828526481,0.0,0.0,0.0,0.0035017509000000004,0.0,0.0484515485,0.0,0.0,0.0509745127,0.0,0.0633693972,0.0,0.0,0.0
0.1468030691,0.0,0.0888888889,0.0,0.08686868689999999,0.0,0.0921382073,0.0,0.0,0.0823714586,0.0,0.0,0.0035017509000000004,0.0,0.0481203008,0.0,0.0,0.0495199596,0.0515257629,0.0,0.0,0.1505752876,0.0,0.1543010753
0.0,0.1382441978,0.0892137097,0.0897177419,0.0816532258,0.0888407367,0.0926853707,0.0,0.0866666667,0.0,0.0,0.08144329900000001,0.0,0.0481203008,0.0,0.0005002501,0.0105900151,0.0,0.0520520521,0.0,0.0,0.1430715358,0.0,0.0
0.1388463502,0.1387487386,0.0,0.0897177419,0.0,0.0,0.0,0.0751533742,0.0,0.0,0.0,0.08144329900000001,0.0484515485,0.0,0.0005002501,0.0,0.0,0.0,0.0,0.0,0.0602471679,0.0,0.0,0.1502145923
0.1384065373,0.13831398279999998,0.0,0.0,0.0,0.0894308943,0.0924242424,0.07644628099999999,0.0,0.0,0.0834621329,0.0,0.0,0.0,0.0105900151,0.0,0.0,0.0,0.0,0.0534787124,0.0,0.0,0.1346444781,0.0
0.1378958121,0.1378091873,0.0892586989,0.0897629854,0.0,0.0,0.0924242424,0.0754132231,0.0866666667,0.0838574423,0.0,0.08505154640000001,0.0,0.0495199596,0.0,0.0,0.0,0.0,0.053481332,0.0524402908,0.0587023687,0.0,0.0,0.1496746204
