B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.14190913730000002,0.1439509954,0.14190913730000002,0.14936847890000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468030691,0.1383358857,0.0,0.1384065373,0.1378958121,0.14453524,0.0,0.0,0.0,0.1373149566,0.1598901099
0.0,0.0,0.1422805247,0.1442986882,0.0,0.0,0.0,0.0,0.0,0.1353620147,0.0,0.1455108359,0.1458859162,0.0,0.1382441978,0.1387487386,0.0,0.1378091873,0.14437152949999998,0.0,0.0,0.0,0.0,0.1600651112
0.14190913730000002,0.1422805247,0.0,0.0100806452,0.0,0.1056338028,0.0459363958,0.0,0.0641025641,0.0644654088,0.0,0.0,0.0892586989,0.0,0.0892137097,0.0892137097,0.0,0.0892586989,0.0953101362,0.0929387331,0.0,0.1456653226,0.138608871,0.0
0.1439509954,0.1442986882,0.0100806452,0.0,0.0,0.0,0.0444220091,0.0,0.061025641,0.0,0.0,0.0,0.0892586989,0.0,0.0897177419,0.0,0.0,0.0897629854,0.0,0.0,0.0,0.1451612903,0.140625,0.1528455285
0.14190913730000002,0.0,0.0,0.0,0.0,0.0390032503,0.0,0.0,0.0,0.0,0.0,0.0979381443,0.0,0.0,0.0,0.0816532258,0.0832072617,0.0821986889,0.0932929904,0.0903426791,0.0926879506,0.1481854839,0.0,0.0
0.14936847890000002,0.0,0.1056338028,0.0,0.0390032503,0.0,0.0,0.0,0.0,0.0,0.0,0.1071032186,0.0910569106,0.0,0.0888407367,0.0,0.0,0.0883468835,0.0959349593,0.0933040615,0.0,0.0,0.139219935,0.1539295393
0.0,0.0,0.0459363958,0.0444220091,0.0,0.0,0.0,0.0127811861,0.0642013354,0.0,0.0779153767,0.0,0.0915457729,0.0921382073,0.0926853707,0.0,0.0924242424,0.0924242424,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0127811861,0.0,0.0546505518,0.0,0.0644139388,0.0649762282,0.0,0.0,0.074795082,0.0751533742,0.0,0.0754132231,0.0,0.079787234,0.0839050132,0.0,0.0,0.1431705979
0.0,0.0,0.0641025641,0.061025641,0.0,0.0,0.0642013354,0.0546505518,0.0,0.000524109,0.0,0.0628865979,0.085171883,0.0,0.0,0.0866666667,0.0,0.0,0.0,0.0,0.0,0.0,0.1374358974,0.0
0.0,0.1353620147,0.0644654088,0.0,0.0,0.0,0.0,0.0,0.000524109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828092243,0.0838574423,0.08752620550000001,0.0,0.0892857143,0.1504192872,0.0,0.158281515
0.0,0.0,0.0,0.0,0.0,0.0,0.0779153767,0.0644139388,0.0,0.0,0.0,0.0005154639,0.0,0.0846670108,0.0808861412,0.0,0.0,0.0,0.0881443299,0.0875721028,0.0,0.0,0.0,0.1509433962
0.0,0.1455108359,0.0,0.0,0.0979381443,0.1071032186,0.0,0.0649762282,0.0628865979,0.0,0.0005154639,0.0,0.0856111398,0.0852272727,0.0,0.0,0.0,0.0,0.0887055183,0.0881427072,0.0891752577,0.0,0.0,0.0
0.0,0.1458859162,0.0892586989,0.0892586989,0.0,0.0910569106,0.0915457729,0.0,0.085171883,0.0,0.0,0.0856111398,0.0,0.0,0.0,0.0,0.0,0.0,0.0509745127,0.0498701299,0.0633693972,0.1508491508,0.0,0.0
0.1468030691,0.0,0.0,0.0,0.0,0.0,0.0921382073,0.0,0.0,0.0,0.0846670108,0.0852272727,0.0,0.0,0.0481203008,0.048024012000000005,0.0,0.0495199596,0.0,0.0,0.0639834881,0.1505752876,0.1475737869,0.1543010753
0.1383358857,0.1382441978,0.0892137097,0.0897177419,0.0,0.0888407367,0.0926853707,0.074795082,0.0,0.0,0.0808861412,0.0,0.0,0.0481203008,0.0,0.0,0.0,0.0095814423,0.0,0.0,0.0602471679,0.1430715358,0.1350675338,0.15053763439999998
0.0,0.1387487386,0.0892137097,0.0,0.0816532258,0.0,0.0,0.0751533742,0.0866666667,0.0,0.0,0.0,0.0,0.048024012000000005,0.0,0.0,0.0,0.0,0.0524475524,0.0508826584,0.0602471679,0.1432850724,0.1352970544,0.1502145923
0.1384065373,0.0,0.0,0.0,0.0832072617,0.0,0.0924242424,0.0,0.0,0.0828092243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030257186,0.0,0.0,0.05973223480000001,0.0,0.0,0.1513015184
0.1378958121,0.1378091873,0.0892586989,0.0897629854,0.0821986889,0.0883468835,0.0924242424,0.0754132231,0.0,0.0838574423,0.0,0.0,0.0,0.0495199596,0.0095814423,0.0,0.0030257186,0.0,0.0,0.0524402908,0.0587023687,0.0,0.0,0.1496746204
0.14453524,0.14437152949999998,0.0953101362,0.0,0.0932929904,0.0959349593,0.0,0.0,0.0,0.08752620550000001,0.0881443299,0.0887055183,0.0509745127,0.0,0.0,0.0524475524,0.0,0.0,0.0,0.0166233766,0.0556414219,0.0,0.14285714289999998,0.1540526033
0.0,0.0,0.0929387331,0.0,0.0903426791,0.0933040615,0.0,0.079787234,0.0,0.0,0.0875721028,0.0881427072,0.0498701299,0.0,0.0,0.0508826584,0.0,0.0524402908,0.0166233766,0.0,0.0513626834,0.1505711319,0.0,0.0
0.0,0.0,0.0,0.0,0.0926879506,0.0,0.0,0.0839050132,0.0,0.0892857143,0.0,0.0891752577,0.0633693972,0.0639834881,0.0602471679,0.0602471679,0.05973223480000001,0.0587023687,0.0556414219,0.0513626834,0.0,0.1446961895,0.140061792,0.153078203
0.0,0.0,0.1456653226,0.1451612903,0.1481854839,0.0,0.0,0.0,0.0,0.1504192872,0.0,0.0,0.1508491508,0.1505752876,0.1430715358,0.1432850724,0.0,0.0,0.0,0.1505711319,0.1446961895,0.0,0.1456928839,0.15718884119999998
0.1373149566,0.0,0.138608871,0.140625,0.0,0.139219935,0.0,0.0,0.1374358974,0.0,0.0,0.0,0.0,0.1475737869,0.1350675338,0.1352970544,0.0,0.0,0.14285714289999998,0.0,0.140061792,0.1456928839,0.0,0.1593347639
0.1598901099,0.1600651112,0.0,0.1528455285,0.0,0.1539295393,0.0,0.1431705979,0.0,0.158281515,0.1509433962,0.0,0.0,0.1543010753,0.15053763439999998,0.1502145923,0.1513015184,0.1496746204,0.1540526033,0.0,0.153078203,0.15718884119999998,0.1593347639,0.0
