B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.14190913730000002,0.1439509954,0.14190913730000002,0.0,0.1365030675,0.0,0.0,0.0,0.1445720251,0.0,0.0,0.0,0.1383358857,0.1388463502,0.1384065373,0.0,0.14453524,0.0,0.1460615545,0.0,0.0,0.1598901099
0.0,0.0,0.1422805247,0.0,0.0,0.14913232099999998,0.1369378474,0.0,0.1386036961,0.0,0.0,0.1455108359,0.0,0.0,0.1382441978,0.1387487386,0.0,0.0,0.14437152949999998,0.0,0.1463917526,0.1331987891,0.1377396569,0.1600651112
0.14190913730000002,0.1422805247,0.0,0.0100806452,0.0977822581,0.0,0.0459363958,0.0397521941,0.0,0.0644654088,0.0726429675,0.0731958763,0.0,0.0888888889,0.0892137097,0.0892137097,0.0,0.0892586989,0.0,0.0929387331,0.0942327497,0.0,0.0,0.0
0.1439509954,0.0,0.0100806452,0.0,0.0977822581,0.1045503792,0.0444220091,0.0387196696,0.0,0.0613207547,0.0705821741,0.0,0.0892586989,0.0,0.0,0.0897177419,0.0897629854,0.0897629854,0.0,0.0919003115,0.0932028836,0.1451612903,0.140625,0.1528455285
0.14190913730000002,0.0,0.0977822581,0.0977822581,0.0,0.0,0.0,0.07537429009999999,0.0917948718,0.0,0.0,0.0,0.0887544125,0.08686868689999999,0.0,0.0,0.0832072617,0.0,0.0,0.0903426791,0.0,0.1481854839,0.138608871,0.0
0.0,0.14913232099999998,0.0,0.1045503792,0.0,0.0,0.1014650027,0.0,0.0,0.0,0.0,0.1071032186,0.0910569106,0.0890336591,0.0888407367,0.0,0.0894308943,0.0,0.0,0.0933040615,0.0,0.0,0.139219935,0.1539295393
0.1365030675,0.1369378474,0.0459363958,0.0444220091,0.0,0.1014650027,0.0,0.0,0.0,0.0635170604,0.0779153767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096048024,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0397521941,0.0387196696,0.07537429009999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0649762282,0.0746803069,0.0747567844,0.074795082,0.0,0.07644628099999999,0.0,0.0803069054,0.079787234,0.0,0.0,0.0,0.0
0.0,0.1386036961,0.0,0.0,0.0917948718,0.0,0.0,0.0,0.0,0.000524109,0.0623390005,0.0628865979,0.085171883,0.0,0.0866666667,0.0866666667,0.0856410256,0.0866666667,0.0,0.0,0.0,0.1533333333,0.1374358974,0.1584759801
0.0,0.0,0.0644654088,0.0613207547,0.0,0.0,0.0635170604,0.0,0.000524109,0.0,0.0609563847,0.0615141956,0.0,0.0,0.0833333333,0.0833333333,0.0,0.0,0.08752620550000001,0.0885805763,0.0,0.1504192872,0.1367924528,0.0
0.1445720251,0.0,0.0726429675,0.0705821741,0.0,0.0,0.0779153767,0.0,0.0623390005,0.0609563847,0.0,0.0005154639,0.08505154640000001,0.0846670108,0.0808861412,0.0,0.0,0.0844925296,0.0881443299,0.0875721028,0.0901597115,0.0,0.0,0.1509433962
0.0,0.1455108359,0.0731958763,0.0,0.0,0.1071032186,0.0,0.0649762282,0.0628865979,0.0615141956,0.0005154639,0.0,0.0856111398,0.0,0.0,0.08144329900000001,0.0840206186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0892586989,0.0887544125,0.0910569106,0.0,0.0746803069,0.085171883,0.0,0.08505154640000001,0.0856111398,0.0,0.0035017509000000004,0.0485485485,0.0484515485,0.0499495459,0.0,0.0509745127,0.0,0.0,0.0,0.1488511489,0.0
0.0,0.0,0.0888888889,0.0,0.08686868689999999,0.0890336591,0.0,0.0747567844,0.0,0.0,0.0846670108,0.0,0.0035017509000000004,0.0,0.0,0.048024012000000005,0.0,0.0495199596,0.0,0.0,0.0639834881,0.0,0.1475737869,0.0
0.1383358857,0.1382441978,0.0892137097,0.0,0.0,0.0888407367,0.0,0.074795082,0.0866666667,0.0833333333,0.0808861412,0.0,0.0485485485,0.0,0.0,0.0005002501,0.0,0.0095814423,0.0,0.0508826584,0.0602471679,0.0,0.0,0.0
0.1388463502,0.1387487386,0.0892137097,0.0897177419,0.0,0.0,0.0,0.0,0.0866666667,0.0833333333,0.0,0.08144329900000001,0.0484515485,0.048024012000000005,0.0005002501,0.0,0.0105900151,0.0,0.0,0.0,0.0,0.1432850724,0.1352970544,0.0
0.1384065373,0.0,0.0,0.0897629854,0.0832072617,0.0894308943,0.0,0.07644628099999999,0.0856410256,0.0,0.0,0.0840206186,0.0499495459,0.0,0.0,0.0105900151,0.0,0.0030257186,0.0,0.0534787124,0.05973223480000001,0.0,0.0,0.1513015184
0.0,0.0,0.0892586989,0.0897629854,0.0,0.0,0.0,0.0,0.0866666667,0.0,0.0844925296,0.0,0.0,0.0495199596,0.0095814423,0.0,0.0030257186,0.0,0.0,0.0524402908,0.0,0.0,0.1346444781,0.1496746204
0.14453524,0.14437152949999998,0.0,0.0,0.0,0.0,0.096048024,0.0803069054,0.0,0.08752620550000001,0.0881443299,0.0,0.0509745127,0.0,0.0,0.0,0.0,0.0,0.0,0.0166233766,0.0556414219,0.1503496503,0.14285714289999998,0.0
0.0,0.0,0.0929387331,0.0919003115,0.0903426791,0.0933040615,0.0,0.079787234,0.0,0.0885805763,0.0875721028,0.0,0.0,0.0,0.0508826584,0.0,0.0534787124,0.0524402908,0.0166233766,0.0,0.0,0.1505711319,0.0,0.1554091159
0.1460615545,0.1463917526,0.0942327497,0.0932028836,0.0,0.0,0.0,0.0,0.0,0.0,0.0901597115,0.0,0.0,0.0639834881,0.0602471679,0.0,0.05973223480000001,0.0,0.0556414219,0.0,0.0,0.1446961895,0.140061792,0.0
0.0,0.1331987891,0.0,0.1451612903,0.1481854839,0.0,0.0,0.0,0.1533333333,0.1504192872,0.0,0.0,0.0,0.0,0.0,0.1432850724,0.0,0.0,0.1503496503,0.1505711319,0.1446961895,0.0,0.1456928839,0.15718884119999998
0.0,0.1377396569,0.0,0.140625,0.138608871,0.139219935,0.0,0.0,0.1374358974,0.1367924528,0.0,0.0,0.1488511489,0.1475737869,0.0,0.1352970544,0.0,0.1346444781,0.14285714289999998,0.0,0.140061792,0.1456928839,0.0,0.1593347639
0.1598901099,0.1600651112,0.0,0.1528455285,0.0,0.1539295393,0.0,0.0,0.1584759801,0.0,0.1509433962,0.0,0.0,0.0,0.0,0.0,0.1513015184,0.1496746204,0.0,0.1554091159,0.0,0.15718884119999998,0.1593347639,0.0
