B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.0,0.0,0.0,0.0,0.1365030675,0.0,0.1381818182,0.0,0.0,0.0,0.1460674157,0.0,0.1383358857,0.0,0.1384065373,0.0,0.0,0.15044713310000002,0.0,0.0,0.1373149566,0.1598901099
0.0,0.0,0.0,0.1442986882,0.1417759839,0.0,0.1369378474,0.0,0.0,0.0,0.0,0.0,0.1458859162,0.0,0.0,0.0,0.13831398279999998,0.0,0.0,0.0,0.0,0.1331987891,0.1377396569,0.1600651112
0.0,0.0,0.0,0.0,0.0,0.1056338028,0.0,0.0397521941,0.0641025641,0.0,0.0,0.0,0.0,0.0888888889,0.0892137097,0.0,0.0892586989,0.0,0.0953101362,0.0,0.0,0.1456653226,0.0,0.1533875339
0.0,0.1442986882,0.0,0.0,0.0,0.1045503792,0.0444220091,0.0,0.061025641,0.0613207547,0.0705821741,0.0711340206,0.0892586989,0.0888888889,0.0897177419,0.0,0.0,0.0,0.0943015633,0.0,0.0932028836,0.1451612903,0.0,0.0
0.0,0.1417759839,0.0,0.0,0.0,0.0390032503,0.0943967693,0.0,0.0917948718,0.0,0.0,0.0979381443,0.0,0.08686868689999999,0.0816532258,0.0,0.0,0.0,0.0,0.0903426791,0.0,0.1481854839,0.0,0.1517615176
0.0,0.0,0.1056338028,0.1045503792,0.0390032503,0.0,0.0,0.0,0.0976821192,0.0,0.0,0.0,0.0,0.0890336591,0.0888407367,0.0888407367,0.0,0.0883468835,0.0959349593,0.0,0.0,0.0,0.0,0.1539295393
0.1365030675,0.1369378474,0.0,0.0444220091,0.0943967693,0.0,0.0,0.0,0.0642013354,0.0635170604,0.0779153767,0.0784718637,0.0,0.0,0.0926853707,0.0,0.0,0.0924242424,0.0,0.0,0.1005673027,0.1495,0.132,0.0
0.0,0.0,0.0397521941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0644139388,0.0649762282,0.0,0.0,0.074795082,0.0751533742,0.07644628099999999,0.0754132231,0.0803069054,0.079787234,0.0839050132,0.1370143149,0.0,0.1431705979
0.1381818182,0.0,0.0641025641,0.061025641,0.0917948718,0.0976821192,0.0642013354,0.0,0.0,0.0,0.0,0.0,0.085171883,0.08427543679999999,0.0866666667,0.0866666667,0.0,0.0866666667,0.0903027193,0.0908141962,0.0,0.1533333333,0.1374358974,0.1584759801
0.0,0.0,0.0,0.0613207547,0.0,0.0,0.0635170604,0.0,0.0,0.0,0.0,0.0615141956,0.0828526481,0.0823714586,0.0833333333,0.0833333333,0.0,0.0,0.08752620550000001,0.0885805763,0.0892857143,0.0,0.1367924528,0.0
0.0,0.0,0.0,0.0705821741,0.0,0.0,0.0779153767,0.0644139388,0.0,0.0,0.0,0.0005154639,0.08505154640000001,0.0,0.0,0.0808861412,0.0834621329,0.0844925296,0.0881443299,0.0,0.0,0.0,0.0,0.1509433962
0.0,0.0,0.0,0.0711340206,0.0979381443,0.0,0.0784718637,0.0649762282,0.0,0.0615141956,0.0005154639,0.0,0.0,0.0852272727,0.08144329900000001,0.08144329900000001,0.0840206186,0.08505154640000001,0.0887055183,0.0,0.0891752577,0.1536082474,0.1453608247,0.0
0.1460674157,0.1458859162,0.0,0.0892586989,0.0,0.0,0.0,0.0,0.085171883,0.0828526481,0.08505154640000001,0.0,0.0,0.0035017509000000004,0.0485485485,0.0,0.0499495459,0.0489404642,0.0,0.0498701299,0.0633693972,0.0,0.0,0.0
0.0,0.0,0.0888888889,0.0888888889,0.08686868689999999,0.0890336591,0.0,0.0,0.08427543679999999,0.0823714586,0.0,0.0852272727,0.0035017509000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0504682622,0.0639834881,0.0,0.1475737869,0.0
0.1383358857,0.0,0.0892137097,0.0897177419,0.0816532258,0.0888407367,0.0926853707,0.074795082,0.0866666667,0.0833333333,0.0,0.08144329900000001,0.0485485485,0.0,0.0,0.0005002501,0.0,0.0,0.0,0.0508826584,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0888407367,0.0,0.0751533742,0.0866666667,0.0833333333,0.0808861412,0.08144329900000001,0.0,0.0,0.0005002501,0.0,0.0105900151,0.0,0.0,0.0,0.0602471679,0.0,0.1352970544,0.1502145923
0.1384065373,0.13831398279999998,0.0892586989,0.0,0.0,0.0,0.0,0.07644628099999999,0.0,0.0,0.0834621329,0.0840206186,0.0499495459,0.0,0.0,0.0105900151,0.0,0.0,0.0,0.0,0.0,0.1442259203,0.1346444781,0.0
0.0,0.0,0.0,0.0,0.0,0.0883468835,0.0924242424,0.0754132231,0.0866666667,0.0,0.0844925296,0.08505154640000001,0.0489404642,0.0,0.0,0.0,0.0,0.0,0.053481332,0.0,0.0,0.1442259203,0.1346444781,0.0
0.0,0.0,0.0953101362,0.0943015633,0.0,0.0959349593,0.0,0.0803069054,0.0903027193,0.08752620550000001,0.0881443299,0.0887055183,0.0,0.0,0.0,0.0,0.0,0.053481332,0.0,0.0,0.0556414219,0.0,0.14285714289999998,0.0
0.15044713310000002,0.0,0.0,0.0,0.0903426791,0.0,0.0,0.079787234,0.0908141962,0.0885805763,0.0,0.0,0.0498701299,0.0504682622,0.0508826584,0.0,0.0,0.0,0.0,0.0,0.0,0.1505711319,0.0,0.1554091159
0.0,0.0,0.0,0.0932028836,0.0,0.0,0.1005673027,0.0839050132,0.0,0.0892857143,0.0,0.0891752577,0.0633693972,0.0639834881,0.0,0.0602471679,0.0,0.0,0.0556414219,0.0,0.0,0.0,0.140061792,0.153078203
0.0,0.1331987891,0.1456653226,0.1451612903,0.1481854839,0.0,0.1495,0.1370143149,0.1533333333,0.0,0.0,0.1536082474,0.0,0.0,0.0,0.0,0.1442259203,0.1442259203,0.0,0.1505711319,0.0,0.0,0.0,0.15718884119999998
0.1373149566,0.1377396569,0.0,0.0,0.0,0.0,0.132,0.0,0.1374358974,0.1367924528,0.0,0.1453608247,0.0,0.1475737869,0.0,0.1352970544,0.1346444781,0.1346444781,0.14285714289999998,0.0,0.140061792,0.0,0.0,0.0
0.1598901099,0.1600651112,0.1533875339,0.0,0.1517615176,0.1539295393,0.0,0.1431705979,0.1584759801,0.0,0.1509433962,0.0,0.0,0.0,0.0,0.1502145923,0.0,0.0,0.0,0.1554091159,0.153078203,0.15718884119999998,0.0,0.0
