B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.0,0.1439509954,0.0,0.0,0.1365030675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1383358857,0.1388463502,0.1384065373,0.1378958121,0.0,0.15044713310000002,0.1460615545,0.1327207759,0.0,0.1598901099
0.0,0.0,0.1422805247,0.1442986882,0.1417759839,0.14913232099999998,0.1369378474,0.0,0.0,0.1353620147,0.0,0.0,0.0,0.1466127401,0.0,0.0,0.0,0.1378091873,0.14437152949999998,0.0,0.0,0.1331987891,0.0,0.0
0.0,0.1422805247,0.0,0.0100806452,0.0977822581,0.1056338028,0.0,0.0397521941,0.0,0.0644654088,0.0,0.0731958763,0.0,0.0,0.0,0.0,0.0,0.0892586989,0.0953101362,0.0,0.0,0.0,0.138608871,0.1533875339
0.1439509954,0.1442986882,0.0100806452,0.0,0.0977822581,0.0,0.0444220091,0.0,0.061025641,0.0613207547,0.0705821741,0.0,0.0,0.0,0.0897177419,0.0897177419,0.0,0.0,0.0,0.0,0.0932028836,0.1451612903,0.0,0.1528455285
0.0,0.1417759839,0.0977822581,0.0977822581,0.0,0.0,0.0,0.0,0.0,0.0885744235,0.0,0.0979381443,0.0,0.08686868689999999,0.0816532258,0.0816532258,0.0,0.0,0.0,0.0903426791,0.0,0.0,0.138608871,0.0
0.0,0.14913232099999998,0.1056338028,0.0,0.0,0.0,0.1014650027,0.0,0.0976821192,0.0,0.1064891847,0.1071032186,0.0910569106,0.0890336591,0.0,0.0,0.0894308943,0.0,0.0959349593,0.0933040615,0.0,0.1500541712,0.139219935,0.1539295393
0.1365030675,0.1369378474,0.0,0.0444220091,0.0,0.1014650027,0.0,0.0127811861,0.0642013354,0.0,0.0779153767,0.0,0.0,0.0921382073,0.0926853707,0.09300000000000001,0.0924242424,0.0924242424,0.0,0.0962038482,0.0,0.0,0.132,0.1569048898
0.0,0.0,0.0397521941,0.0,0.0,0.0,0.0127811861,0.0,0.0,0.0537345513,0.0,0.0,0.0746803069,0.0,0.0,0.0,0.07644628099999999,0.0,0.0803069054,0.0,0.0,0.1370143149,0.0,0.1431705979
0.0,0.0,0.0,0.061025641,0.0,0.0976821192,0.0642013354,0.0,0.0,0.000524109,0.0,0.0,0.0,0.08427543679999999,0.0866666667,0.0866666667,0.0,0.0866666667,0.0,0.0908141962,0.0,0.0,0.1374358974,0.0
0.0,0.1353620147,0.0644654088,0.0613207547,0.0885744235,0.0,0.0,0.0537345513,0.000524109,0.0,0.0609563847,0.0615141956,0.0,0.0823714586,0.0833333333,0.0833333333,0.0828092243,0.0,0.08752620550000001,0.0885805763,0.0892857143,0.1504192872,0.1367924528,0.158281515
0.0,0.0,0.0,0.0705821741,0.0,0.1064891847,0.0779153767,0.0,0.0,0.0609563847,0.0,0.0005154639,0.08505154640000001,0.0846670108,0.0808861412,0.0,0.0,0.0,0.0881443299,0.0,0.0,0.0,0.1447707367,0.1509433962
0.0,0.0,0.0731958763,0.0,0.0979381443,0.1071032186,0.0,0.0,0.0,0.0615141956,0.0005154639,0.0,0.0856111398,0.0852272727,0.08144329900000001,0.08144329900000001,0.0840206186,0.0,0.0887055183,0.0,0.0,0.0,0.1453608247,0.1515824542
0.0,0.0,0.0,0.0,0.0,0.0910569106,0.0,0.0746803069,0.0,0.0,0.08505154640000001,0.0856111398,0.0,0.0035017509000000004,0.0485485485,0.0484515485,0.0499495459,0.0489404642,0.0,0.0,0.0633693972,0.0,0.1488511489,0.15512614060000002
0.0,0.1466127401,0.0,0.0,0.08686868689999999,0.0890336591,0.0921382073,0.0,0.08427543679999999,0.0823714586,0.0846670108,0.0852272727,0.0035017509000000004,0.0,0.0,0.0,0.0,0.0495199596,0.0515257629,0.0,0.0639834881,0.0,0.0,0.1543010753
0.1383358857,0.0,0.0,0.0897177419,0.0816532258,0.0,0.0926853707,0.0,0.0866666667,0.0833333333,0.0808861412,0.08144329900000001,0.0485485485,0.0,0.0,0.0,0.0,0.0,0.0520520521,0.0508826584,0.0602471679,0.0,0.0,0.15053763439999998
0.1388463502,0.0,0.0,0.0897177419,0.0816532258,0.0,0.09300000000000001,0.0,0.0866666667,0.0833333333,0.0,0.08144329900000001,0.0484515485,0.0,0.0,0.0,0.0105900151,0.0095814423,0.0524475524,0.0508826584,0.0,0.0,0.0,0.0
0.1384065373,0.0,0.0,0.0,0.0,0.0894308943,0.0924242424,0.07644628099999999,0.0,0.0828092243,0.0,0.0840206186,0.0499495459,0.0,0.0,0.0105900151,0.0,0.0,0.0,0.0534787124,0.05973223480000001,0.0,0.0,0.1513015184
0.1378958121,0.1378091873,0.0892586989,0.0,0.0,0.0,0.0924242424,0.0,0.0866666667,0.0,0.0,0.0,0.0489404642,0.0495199596,0.0,0.0095814423,0.0,0.0,0.053481332,0.0524402908,0.0587023687,0.1442259203,0.1346444781,0.1496746204
0.0,0.14437152949999998,0.0953101362,0.0,0.0,0.0959349593,0.0,0.0803069054,0.0,0.08752620550000001,0.0881443299,0.0887055183,0.0,0.0515257629,0.0520520521,0.0524475524,0.0,0.053481332,0.0,0.0166233766,0.0,0.0,0.14285714289999998,0.0
0.15044713310000002,0.0,0.0,0.0,0.0903426791,0.0933040615,0.0962038482,0.0,0.0908141962,0.0885805763,0.0,0.0,0.0,0.0,0.0508826584,0.0508826584,0.0534787124,0.0524402908,0.0166233766,0.0,0.0,0.0,0.0,0.0
0.1460615545,0.0,0.0,0.0932028836,0.0,0.0,0.0,0.0,0.0,0.0892857143,0.0,0.0,0.0633693972,0.0639834881,0.0602471679,0.0,0.05973223480000001,0.0587023687,0.0,0.0,0.0,0.1446961895,0.0,0.153078203
0.1327207759,0.1331987891,0.0,0.1451612903,0.0,0.1500541712,0.0,0.1370143149,0.0,0.1504192872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1442259203,0.0,0.0,0.1446961895,0.0,0.0,0.15718884119999998
0.0,0.0,0.138608871,0.0,0.138608871,0.139219935,0.132,0.0,0.1374358974,0.1367924528,0.1447707367,0.1453608247,0.1488511489,0.0,0.0,0.0,0.0,0.1346444781,0.14285714289999998,0.0,0.0,0.0,0.0,0.1593347639
0.1598901099,0.0,0.1533875339,0.1528455285,0.0,0.1539295393,0.1569048898,0.1431705979,0.0,0.158281515,0.1509433962,0.1515824542,0.15512614060000002,0.1543010753,0.15053763439999998,0.0,0.1513015184,0.1496746204,0.0,0.0,0.153078203,0.15718884119999998,0.1593347639,0.0
