B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.0,0.0,0.14190913730000002,0.14936847890000002,0.1365030675,0.0,0.1381818182,0.1348911312,0.1445720251,0.0,0.1460674157,0.0,0.1383358857,0.0,0.0,0.0,0.0,0.15044713310000002,0.1460615545,0.0,0.0,0.1598901099
0.0,0.0,0.1422805247,0.1442986882,0.0,0.0,0.1369378474,0.12661498710000002,0.1386036961,0.0,0.1449200619,0.0,0.1458859162,0.1466127401,0.0,0.1387487386,0.13831398279999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1422805247,0.0,0.0100806452,0.0977822581,0.0,0.0,0.0397521941,0.0641025641,0.0644654088,0.0726429675,0.0731958763,0.0892586989,0.0888888889,0.0892137097,0.0892137097,0.0,0.0,0.0,0.0,0.0942327497,0.1456653226,0.138608871,0.1533875339
0.0,0.1442986882,0.0100806452,0.0,0.0977822581,0.0,0.0,0.0,0.061025641,0.0613207547,0.0,0.0,0.0892586989,0.0,0.0897177419,0.0,0.0,0.0,0.0943015633,0.0919003115,0.0,0.0,0.0,0.1528455285
0.14190913730000002,0.0,0.0977822581,0.0977822581,0.0,0.0390032503,0.0,0.07537429009999999,0.0917948718,0.0,0.0973724884,0.0979381443,0.0887544125,0.08686868689999999,0.0,0.0816532258,0.0,0.0,0.0,0.0903426791,0.0,0.0,0.0,0.0
0.14936847890000002,0.0,0.0,0.0,0.0390032503,0.0,0.0,0.0,0.0,0.0943502825,0.1064891847,0.0,0.0,0.0890336591,0.0888407367,0.0888407367,0.0,0.0,0.0959349593,0.0,0.0997782705,0.0,0.0,0.0
0.1365030675,0.1369378474,0.0,0.0,0.0,0.0,0.0,0.0127811861,0.0,0.0635170604,0.0,0.0784718637,0.0,0.0921382073,0.0926853707,0.09300000000000001,0.0924242424,0.0,0.096048024,0.0,0.0,0.0,0.0,0.0
0.0,0.12661498710000002,0.0397521941,0.0,0.07537429009999999,0.0,0.0127811861,0.0,0.0,0.0537345513,0.0,0.0,0.0746803069,0.0,0.074795082,0.0751533742,0.07644628099999999,0.0754132231,0.0,0.0,0.0,0.1370143149,0.0,0.0
0.1381818182,0.1386036961,0.0641025641,0.061025641,0.0917948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0628865979,0.085171883,0.0,0.0866666667,0.0,0.0856410256,0.0866666667,0.0,0.0,0.0,0.1533333333,0.1374358974,0.0
0.1348911312,0.0,0.0644654088,0.0613207547,0.0,0.0943502825,0.0635170604,0.0537345513,0.0,0.0,0.0609563847,0.0615141956,0.0828526481,0.0,0.0,0.0,0.0828092243,0.0838574423,0.08752620550000001,0.0,0.0,0.1504192872,0.1367924528,0.158281515
0.1445720251,0.1449200619,0.0726429675,0.0,0.0973724884,0.1064891847,0.0,0.0,0.0,0.0609563847,0.0,0.0005154639,0.0,0.0,0.0808861412,0.0808861412,0.0834621329,0.0844925296,0.0881443299,0.0,0.0901597115,0.1535291087,0.1447707367,0.0
0.0,0.0,0.0731958763,0.0,0.0979381443,0.0,0.0784718637,0.0,0.0628865979,0.0615141956,0.0005154639,0.0,0.0856111398,0.0852272727,0.08144329900000001,0.08144329900000001,0.0840206186,0.0,0.0887055183,0.0881427072,0.0,0.0,0.1453608247,0.0
0.1460674157,0.1458859162,0.0892586989,0.0892586989,0.0887544125,0.0,0.0,0.0746803069,0.085171883,0.0828526481,0.0,0.0856111398,0.0,0.0,0.0,0.0,0.0,0.0489404642,0.0,0.0,0.0,0.0,0.1488511489,0.0
0.0,0.1466127401,0.0888888889,0.0,0.08686868689999999,0.0890336591,0.0921382073,0.0,0.0,0.0,0.0,0.0852272727,0.0,0.0,0.0481203008,0.048024012000000005,0.0,0.0,0.0515257629,0.0504682622,0.0,0.0,0.0,0.0
0.1383358857,0.0,0.0892137097,0.0897177419,0.0,0.0888407367,0.0926853707,0.074795082,0.0866666667,0.0,0.0808861412,0.08144329900000001,0.0,0.0481203008,0.0,0.0,0.0,0.0095814423,0.0,0.0,0.0,0.1430715358,0.0,0.0
0.0,0.1387487386,0.0892137097,0.0,0.0816532258,0.0888407367,0.09300000000000001,0.0751533742,0.0,0.0,0.0808861412,0.08144329900000001,0.0,0.048024012000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1502145923
0.0,0.13831398279999998,0.0,0.0,0.0,0.0,0.0924242424,0.07644628099999999,0.0856410256,0.0828092243,0.0834621329,0.0840206186,0.0,0.0,0.0,0.0,0.0,0.0,0.0544904137,0.0,0.05973223480000001,0.0,0.1346444781,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754132231,0.0866666667,0.0838574423,0.0844925296,0.0,0.0489404642,0.0,0.0095814423,0.0,0.0,0.0,0.0,0.0,0.0,0.1442259203,0.1346444781,0.0
0.0,0.0,0.0,0.0943015633,0.0,0.0959349593,0.096048024,0.0,0.0,0.08752620550000001,0.0881443299,0.0887055183,0.0,0.0515257629,0.0,0.0,0.0544904137,0.0,0.0,0.0,0.0,0.1503496503,0.0,0.0
0.15044713310000002,0.0,0.0,0.0919003115,0.0903426791,0.0,0.0,0.0,0.0,0.0,0.0,0.0881427072,0.0,0.0504682622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1554091159
0.1460615545,0.0,0.0942327497,0.0,0.0,0.0997782705,0.0,0.0,0.0,0.0,0.0901597115,0.0,0.0,0.0,0.0,0.0,0.05973223480000001,0.0,0.0,0.0,0.0,0.1446961895,0.140061792,0.0
0.0,0.0,0.1456653226,0.0,0.0,0.0,0.0,0.1370143149,0.1533333333,0.1504192872,0.1535291087,0.0,0.0,0.0,0.1430715358,0.0,0.0,0.1442259203,0.1503496503,0.0,0.1446961895,0.0,0.0,0.0
0.0,0.0,0.138608871,0.0,0.0,0.0,0.0,0.0,0.1374358974,0.1367924528,0.1447707367,0.1453608247,0.1488511489,0.0,0.0,0.0,0.1346444781,0.1346444781,0.0,0.0,0.140061792,0.0,0.0,0.0
0.1598901099,0.0,0.1533875339,0.1528455285,0.0,0.0,0.0,0.0,0.0,0.158281515,0.0,0.0,0.0,0.0,0.0,0.1502145923,0.0,0.0,0.0,0.1554091159,0.0,0.0,0.0,0.0
