0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0,0.0036231875,0.14243689,0.14564916,0.14241862,0.14903444,0.1366196,0.13935027,0.1397934,0.1401346,0.13997528,0.13981053,0.1396653,0.13982007,0.1391187,0.13926649,0.1394631,0.13904151,0.1447362,0.15059617,0.14616674,0.13279179,0.13716844,0.15982908
0.0031229854,0.0,0.14172965,0.14456785,0.14040527,0.14982405,0.13685685,0.12640068,0.13597903,0.13855979,0.14315218,0.14366096,0.14456993,0.1421758,0.1423817,0.14242259,0.14074686,0.13822556,0.14513758,0.150843,0.14676881,0.13388988,0.13814527,0.16002458
0.14370531,0.1449962,0.0,0.009571254,0.101023674,0.10947636,0.046051353,0.039874524,0.06378308,0.07213622,0.07655063,0.083684534,0.0877077,0.088954926,0.0902237,0.08855355,0.08672026,0.081332535,0.094052136,0.093878,0.09560105,0.14728963,0.13898107,0.15371051
0.1436578,0.14373776,0.009626657,0.0,0.100538254,0.109464675,0.044087112,0.0404543,0.05671519,0.06158936,0.07763147,0.08114794,0.085870594,0.08967033,0.08916697,0.08693305,0.08830741,0.08696163,0.09401065,0.08973518,0.09356788,0.14550602,0.13942063,0.15305096
0.14441743,0.14259985,0.099644095,0.0995338,0.0,0.046990484,0.09409168,0.08204368,0.09152898,0.09215447,0.09377462,0.0882822,0.08801338,0.08505428,0.08369115,0.08500627,0.086395234,0.08513549,0.09306514,0.091127485,0.09351668,0.1461832,0.1372863,0.15144691
0.14946109,0.14854798,0.10387647,0.10518703,0.044729352,0.0,0.09845078,0.09051412,0.09219557,0.095698684,0.10536495,0.1083979,0.090693355,0.08863318,0.08862692,0.08891004,0.088573694,0.08824432,0.0959456,0.09387568,0.0995945,0.14869612,0.13800073,0.1535919
0.13252512,0.1361722,0.047773868,0.047563672,0.09462795,0.08140683,0.0,0.025315613,0.05789593,0.061415285,0.07464421,0.080694705,0.084469706,0.08360088,0.08409557,0.08381051,0.08331114,0.08374268,0.087157786,0.08850551,0.09192613,0.14587405,0.13643587,0.15219998
0.12852621,0.12628889,0.04142812,0.041030854,0.07611394,0.084757626,0.02536121,0.0,0.04155746,0.057206035,0.06687859,0.08050811,0.079036266,0.08199832,0.08385202,0.08445674,0.083336264,0.08400303,0.08893293,0.089882344,0.090137005,0.14684305,0.13691697,0.15300125
0.13978559,0.13688946,0.06668693,0.059243858,0.090649724,0.092454046,0.06020969,0.049687237,0.0,0.012892753,0.067104906,0.0725984,0.08246106,0.07930106,0.084513426,0.08527276,0.08437061,0.08401713,0.09027359,0.090133786,0.09070006,0.14661774,0.1370303,0.15317425
0.1406357,0.1399273,0.07266447,0.06323129,0.08771762,0.09036419,0.06164983,0.06039986,0.013361275,0.0,0.053976327,0.07364386,0.08308482,0.08072248,0.08205515,0.084555864,0.083699375,0.08322698,0.08947936,0.08926159,0.09033874,0.14693567,0.13726929,0.15311116
0.14161643,0.14227152,0.08223632,0.077243924,0.09037542,0.092378974,0.07739371,0.071474016,0.06505224,0.050533086,0.0,0.011197358,0.08640283,0.08302194,0.08384448,0.08269501,0.0842517,0.082792014,0.08967373,0.087637395,0.08994046,0.14709342,0.13758439,0.15332794
0.14281893,0.14398783,0.08362621,0.087097675,0.08815026,0.09417209,0.07927486,0.08268273,0.076833606,0.07035896,0.012976646,0.0,0.083461195,0.07713783,0.078300804,0.07586104,0.07929286,0.07990685,0.07437536,0.08818221,0.08881378,0.14734745,0.13818842,0.15347672
0.14318141,0.14416492,0.08536142,0.087488204,0.08766043,0.092568666,0.088144004,0.08351079,0.08096731,0.078287184,0.08349481,0.07916999,0.0,0.0050295293,0.05793664,0.056793302,0.058542073,0.050822586,0.05199191,0.049675226,0.06479871,0.1480248,0.13877866,0.15348476
0.14057565,0.14169672,0.0869005,0.09065884,0.08699843,0.094213516,0.083144784,0.08658609,0.0796794,0.07654455,0.07993266,0.08027747,0.005251467,0.0,0.047675848,0.053437293,0.057328016,0.050088853,0.049741507,0.049235344,0.061659038,0.148552,0.13949382,0.15328303
0.13962978,0.14184096,0.08689353,0.0893158,0.08656442,0.093906194,0.083604455,0.083675,0.08828947,0.0834147,0.08506188,0.08074227,0.057562828,0.050507396,0.0,0.0031236708,0.018187672,0.018716216,0.050664753,0.04766366,0.059139013,0.14841527,0.13897043,0.15313512
0.14003125,0.14111862,0.086720824,0.08785859,0.08733654,0.09185094,0.08374563,0.08422446,0.08319521,0.084567964,0.084288,0.08176994,0.056672633,0.05527109,0.0035544038,0.0,0.012656629,0.0149457455,0.049237013,0.049705267,0.060049206,0.14848122,0.1376419,0.15276173
0.14119369,0.14147997,0.08549845,0.08779764,0.08662096,0.09169209,0.082968086,0.08399385,0.08336672,0.082522124,0.08649063,0.08631927,0.059073508,0.054640204,0.021570861,0.014661342,0.0,0.003724575,0.055030853,0.045630008,0.05918473,0.14215392,0.13422799,0.15217045
0.14204162,0.14137933,0.08419436,0.08695209,0.085357845,0.09390679,0.08423844,0.084884435,0.084926754,0.0844194,0.08424726,0.08686566,0.064540416,0.05693981,0.021477818,0.016990662,0.004054427,0.0,0.050271094,0.05065137,0.06287956,0.14392477,0.13478905,0.15052989
0.14638585,0.14563984,0.09554121,0.096091926,0.09333402,0.09350285,0.087854624,0.08770552,0.089449555,0.0904915,0.08983317,0.08551371,0.054082036,0.055145264,0.05011487,0.055952102,0.056274652,0.05055666,0.0,0.014148414,0.057301342,0.15160501,0.14058584,0.15431693
0.15194792,0.15298799,0.09403029,0.092356175,0.09235868,0.1008462,0.0927265,0.088932335,0.09040707,0.09258279,0.091386944,0.08780378,0.057243705,0.05250001,0.050091714,0.05243209,0.05502668,0.057748884,0.013982058,0.0,0.050973624,0.14939335,0.14275563,0.15542677
0.147385,0.14779496,0.09514856,0.0922741,0.09303963,0.10271683,0.0935587,0.08963388,0.091411114,0.09385264,0.093470514,0.08839768,0.07586828,0.071650445,0.06293297,0.059250236,0.060287356,0.059978843,0.05353704,0.05315453,0.0,0.1454314,0.14027649,0.15334502
0.13246036,0.1330876,0.14593372,0.13769016,0.14436382,0.1500859,0.14665839,0.14576253,0.14939794,0.1492452,0.14856991,0.14902371,0.15038526,0.15143478,0.14717057,0.14551863,0.14477825,0.1431494,0.1524905,0.15143368,0.13556847,0.0,0.1464999,0.15789795
0.1373846,0.13815272,0.13964894,0.1403805,0.13781473,0.13925299,0.13618451,0.13628176,0.13856727,0.13945949,0.13941139,0.1396676,0.14005405,0.14061686,0.14111897,0.1352798,0.13359046,0.13413742,0.14222866,0.141453,0.14037421,0.14290062,0.0,0.1607357
0.15975961,0.16035846,0.15321717,0.15273431,0.15139511,0.15454224,0.15350339,0.15256825,0.15301973,0.15314874,0.15288249,0.15252203,0.15251565,0.152116,0.15254259,0.15310973,0.14924067,0.14989382,0.15439442,0.15507385,0.1539048,0.15999153,0.1600661,0.0
